drug_name,CID,ex_drug_id
164658-13-3,644215,496
Fascaplysin,73292,497
Cdk4/6 Inhibitor IV,24825971,498
CDK9 inhibitor,66577006,499
VE-821,51000408,500
YK-4-279,44632017,501
Tame,1550286,502
ML141,2950007,503
CASIN,2882155,504
314042-01-8,1067700,505
PHA-767491,11715767,506
NSC 663284,379077,507
menadione,4055,508
1421227-52-2,72551586,509
as1949490,44473434,510
"L-690,330",132449,511
pentamidine,4735,512
HMS2093I20,441400,513
bergenin,66065,514
berberine,2353,515
Physcion,10639,516
56990-57-9,92577,517
NCGC00095145-01,16757846,518
JNJ-7706621,5330790,519
CCT129202,16202152,520
hesperadin,135421442,521
ZINC100015731,ZINC,522
SNS-314,24995524,523
Tozasertib,5494449,524
1095382-05-0,25154041,525
Alisertib,24771867,526
Danusertib,11442891,527
693228-63-6,6420138,528
722544-51-6,16007391,529
TAK-901,16124208,530
331771-20-1,9914412,531
AMG-900,24856041,532
Kinome_3673,49831008,533
MLN8054,11712649,534
AT9283,135398495,535
Aurora A Inhibitor I,44139710,536
MK-5108,24748204,537
PHA-680632,11249084,538
GSK1070916,46885626,539
RAF265,11656518,540
Raf265 derivative,23654923,541
NVP-BHG712,16747388,542
878739-06-1,11676786,543
Vemurafenib,42611257,544
PLX-4720,24180719,545
GDC-0879,11717001,546
Dabrafenib,44462760,547
ZM 336372,5730,548
1096708-71-2,25161177,549
405554-55-4,135421339,550
GW305074X,5034,551
303727-31-3,9950176,552
Refametinib,44182295,553
Selumetinib,10127622,554
391210-10-9,9826528,555
Trametinib,11707110,556
CHEMBL3183697,24906275,557
CHEMBL1706473,42628507,558
SCHEMBL19918218,73265219,559
CHEMBL3182364,73265220,560
Midostaurin,9829523,561
Enzastaurin,176167,562
CHEMBL2141387,11719130,563
NCGC00263119-01,44451493,564
131848-97-0,2404,565
110025-28-0,3035980,566
go 6983,3499,567
Go 6976,3501,568
Ingenol 3-angelate,6918670,569
CHEMBL3348991,73265223,570
CHEMBL3348887,73265230,571
CHEMBL1836853,53484170,572
GW843682X,9826308,573
BI 2536,11364421,574
Volasertib,10461508,575
GSK461364,15983966,576
Rigosertib (sodium),23696523,577
HMN-214,9888590,578
CHEMBL2132441,57519549,579
CHEMBL130321,3838,580
Calmidazolium,2531,581
CHEBI:95054,73265211,582
926319-75-7,25021162,583
Ro 51,24883277,584
GW791343,9848160,585
227088-94-0,9804433,586
AZ10606120,10310632,587
A 438079,11673921,588
CHEMBL3348973,73265212,589
NCGC00347908-01,73265215,590
A 839977,53325875,591
Fasudil,3547,592
GSK269962A,16095342,593
y-27632,448042,594
GSK429286A,11373846,595
Thiazovivin,46209426,596
GSK-25,11548023,597
1072959-67-1,25093235,598
Rho Kinase Inhibitor IV,56972177,599
199433-58-4,9810884,600
GSK 650394,25022668,601
AZD1480,16659841,602
"(3S,4R)-Tofacitinib",9966538,603
Ruxolitinib,25126798,604
Cyt387,25062766,605
SCHEMBL17971367,14096316,606
CHEMBL2136663,57519551,607
leflunomide,3899,608
NVP-BSK805,46398810,609
KS-00001D5I,23153381,610
134036-52-5,5328779,611
905586-69-8,25099184,612
GANDOTINIB,46213929,613
TG101209,16722832,614
Baricitinib,44205240,615
CEP-33779,57336812,616
1206101-20-3,49831257,617
Pyridone 6,5494425,618
936091-15-5,16722834,619
936091-56-4,16723044,620
BMS-911543,50922691,621
NCGC00014911-01,3246697,622
501919-59-1,252682,623
Cryptotanshinone,160254,624
NCGC00017223-03,50987412,625
CHEMBL3348888,70701134,626
niclosamide,4477,627
BP-1-102,53388144,628
STX-0119,4253236,629
LLL-12,46911017,630
C188-9,1324494,631
RO495,57519505,632
CHEMBL1288002,52948550,633
Bayer-18,73265273,634
ICG-001,11238147,635
PNU-74654,9836739,636
1118807-13-8,8582409,637
Wnt-C59,57519544,638
IWP-2,2155128,639
1243244-14-5,46926973,640
ID-8,791637,641
301836-43-1,6419753,642
Silmitasertib,24748573,643
emodin,3220,644
Fingolimod,107970,645
Phenoxodiol,219100,646
CHEMBL3348835,73265274,647
Sonidegib,24775005,648
NCGC00163474-05,57519537,649
Taladegib,49848070,650
SANT-2,1367095,651
HPI 1,2926768,652
Hh-Ag1.5,44195701,653
PF-5274857,56956240,654
Vismodegib,24776445,655
GANT 58,253078,656
CHEMBL3348891,67310049,657
500579-04-4,421610,658
912545-86-9,5284330,659
OAC1,789882,660
1194044-20-6,44251605,661
CHEMBL4303286,73265271,662
RO4929097,49867930,663
MK-0752,9803433,664
209984-56-5,11454028,665
dapt,5311272,666
Avagacestat,46883536,667
Semagacestat,9843750,668
209984-57-6,10435235,669
BMS 299897,11249248,670
Salidroside,159278,671
KS-00000Y5E,56828182,672
AIM-100,11501591,673
284028-89-3,135418940,674
CHEMBL1824695,46927888,675
CPG-52364,25105690,676
IMIQUIMOD,57469,677
DMXAA,123964,678
IRAK-1-4 Inhibitor I,11983295,679
CHEMBL256963,25169382,680
IRAK inhibitor 5,11987888,681
BI-78D3,2747117,682
SR-3306,57519510,683
129-56-6,8515,684
CHEMBL3184387,72295940,685
AS601245,10109823,686
TCS JNK 5a,766949,687
CC-401,10430360,688
CHEMBL1950303,57394468,689
1047953-91-2,45942672,690
TPCK,439647,691
pepstatin,5478883,692
ML369,56846691,693
PMSF,4784,694
Camostat,2536,695
STF-083010,729483,696
CHEMBL3188944,68234129,697
626222-24-0,1005654,698
Apilimod,10173277,699
AMG-47a,16086114,700
A-770041,9549184,701
SCHEMBL6874948,69923936,702
WH-4-023,11844351,703
SCHEMBL1737451,5309,704
PIM-1 INHIBITOR 2,2765355,705
SGI-1776,24795070,706
SMI-4a,1361334,707
CHEMBL3348949,73265277,708
BCP07985,66774402,709
Ki20227,9869779,710
885692-52-4,11676971,711
c-FMS inhibitor,11654378,712
SCHEMBL17378613,73265276,713
1124329-14-1,56973724,714
PF-3758309,25227462,715
IPA-3,521106,716
905579-51-3,16720766,717
BMS-5,56965901,718
BMS-3,73265272,719
AMG-Tie2-1,16108977,720
Tie2 kinase inhibitor,23625762,721
CHEMBL2134570,57519538,722
35922-06-6,10070893,723
Pazopanib,10113978,724
Fedratinib,16722836,725
NCGC00242478-02,57519506,726
CCT-018159,984170,727
BIIB021,16736529,728
Luminespib,135539077,729
SNX-2112,24772860,730
908115-27-5,44195571,731
KW-2478,23116322,732
30562-34-6,5288382,733
NCGC00163424-03,73265206,734
NCGC00346438-01,73265210,735
Ganetespib,135564985,736
Onalespib,11955716,737
celastrol,122724,738
NVP-BEP800,25210273,739
novobiocin(1-),15940185,740
Elesclomol,300471,741
NCGC00263143-01,57519540,742
1316214-52-4,53340666,743
CHEMBL2018451,46918825,744
Tubacin,6675804,745
Tubastatin A,49850262,746
CAY10603,24951314,747
Vorinostat,5311,748
Droxinostat,568416,749
AR-42,6918848,750
Belinostat(Random Configuration),6918638,751
Mocetinostat,9865515,752
CHEMBL2141644,57519507,753
pyroxamide,4996,754
CHEMBL2133870,56603532,755
128517-07-7,5352062,756
m344,3994,757
732302-99-7,9804991,758
852475-26-4,11381449,759
PCI-34051,24753719,760
Metacept-3,4611,761
925434-55-5,24180125,762
Fisetin,5281614,763
isoliquirtigenin,6474292,764
49843-98-3,5113032,765
AK-7,1328033,766
Daminozide,15331,767
GSK-J1,56963315,768
NCGC00347951-01,73265341,769
UNC1215,57339144,770
1314241-44-5,46931242,771
Entinostat,4261,772
MolMap_000049,105115,773
QUISINOSTAT,11538455,774
ABEXINOSTAT,11749858,775
NVP-LAQ824;LAQ824,216248,776
MG149,49864204,777
Veliparib,11960529,778
Olaparib,23725625,779
Niraparib,24958200,780
AG14361,9840076,781
RUCAPARIB,9931954,782
4-Iodo-3-nitrobenzamide,9796068,783
CHEMBL1090466,16666332,784
3-aminobenzamide,1645,785
Ixazomib,25183872,786
Carfilzomib,11556711,787
Bortezomib,387447,788
Salinosporamide F,22833280,789
1201902-80-8,49867936,790
MG-132,462382,791
MG-115,9868928,792
Delanzomib,24800541,793
SCHEMBL2250091,2532,794
Oprozomib,25067547,795
eeyarestatin I,5003929,796
Tosedostat,15547703,797
Amastatin,439518,798
LRRK2-IN-1,46843906,799
hg-10-102-01,58539301,800
Saxagliptin,11243969,801
Linagliptin,10096344,802
Sitagliptin,4369359,803
YW3-56,56970298,804
Vidofludimus,9820008,805
CHEMBL2062101,54677977,806
SB-3CT,9883002,807
NCGC00263127-01,57519520,808
cl-82198,2777,809
batimastat,5362422,810
Chlorhexidine Base,2713,811
gm 1489,10322165,812
SCHEMBL3469160,5288446,813
doxycycline,54671203,814
SSR 69071,9872438,815
Sivelestat,107706,816
o6-benzylguanine,4578,817
Tolcapone,4659569,818
RG108,702558,819
FAZARABINE,47751,820
Decitabine,451668,821
10356-76-0,515328,822
BIX-01294,25150857,823
UNC0638,46224516,824
GSK126,68210102,825
NCGC00344622-02,73265340,826
1268524-70-4,46907787,827
1300031-49-5,52912189,828
1260907-17-2,46943432,829
GSK 525768A,52934127,830
CHEMBL1706858,46925884,831
ML216,49852229,832
CHEMBL2426174,71300295,833
NCGC00241036,49852941,834
ML324,44143209,835
Tipifarnib,159324,836
Lonafarnib,148195,837
153559-76-3,3922,838
80306-38-3,44250175,839
125316-60-1,135411,840
AC-261066,11530459,841
CBiol_001848,1744,842
tazarotene,5381,843
Tamibarotene,108143,844
Bexarotene,82146,845
hydrocortisone,5754,846
cyclosporin A,5284373,847
azathioprine,2265,848
Laquinimod,54677946,849
chrysin,5281607,850
ZINC250325905,ZINC,851
Sinomenine,5459308,852
NCGC00142605-03,73265336,853
NCGC00344564-02,73265209,854
StemRegenin 1,46199207,855
NCGC00346737-01,73265367,856
Diosmetin,5281612,857
ketoprofen,3825,858
ketorolac,3826,859
flurbiprofen,3394,860
indomethacin,3715,861
38194-50-2,1548887,862
Lornoxicam,54690031,863
aspirin,2244,864
Bindarit,71354,865
tenoxicam,54677971,866
bufexamac,2466,867
CHEMBL3348995,6325199,868
histamine,774,869
cetirizine,2678,870
loratadine,3957,871
(-)-chlorpheniramine,716121,872
Chloropyramine hydrochloride,80311,873
ZINC896472,ZINC,874
diphenhydramine,3100,875
ketotifen,3827,876
CYPROHEPTADINE,2913,877
Mizolastine,65906,878
azelastine,2267,879
lafutidine,5282136,880
famotidine,5702160,881
Secoisolariciresinol,65373,882
quercetin,5280343,883
kaempferol,5280863,884
dihydroquercetin,439533,885
biochanin A,5280373,886
Icaritin,5318980,887
Selenomethionine,15103,888
HYDROXOCOBALAMIN,44475014,889
NCGC00262545-02,73265345,890
nicotinic acid,938,891
nicotinamide,936,892
pantothenic acid,6613,893
83-88-5,493570,894
ACIPIMOX,5310993,895
CHEMBL3188552,73265364,896
clinofibrate,2787,897
CHEMBL3348987,71729980,898
".beta.,.beta.-Carotene",5280489,899
Doxercalciferol,5281107,900
NCGC00242511-02,57519525,901
"1,25-dihydroxy vitamin D3",5280453,902
Jasmonic acid methyl ester,5281929,903
Andarine,9824562,904
ENOBOSARM,11326715,905
CHEMBL75474,11440648,906
NCGC00346736-01,73265369,907
SCHEMBL8771394,7048589,908
NCGC00095245-01,16757877,909
CHEMBL3348922,73265368,910
Enzalutamide,15951529,911
915087-27-3,11957756,912
bicalutamide,2375,913
ARN-509,24872560,914
ZINC3881972,ZINC,915
flutamide,3397,916
NCGC00091032-08,73265350,917
Hydroxyflutamide,91649,918
(R)-Bicalutamide,56069,919
nilutamide,4493,920
"3,3'-Diindolylmethane",3071,921
ZINC208951860,ZINC,922
KBioGR_000368,3751173,923
PK 11195,1345,924
meclizine,4034,925
Pioglitazone,4829,926
rosiglitazone,77999,927
GW0742,9934458,928
317318-70-0,9803963,929
trans-caffeic acid,689043,930
GW7647,3392731,931
fenofibrate,3339,932
clofibrate,2796,933
Ciprofibrate,2763,934
GSK3787,2800647,935
KRP-297,151183,936
gemfibrozil,3463,937
NCGC00165799-02,73265360,938
1338259-05-4,53239854,939
troglitazone,5591,940
Telmisartan,65999,941
Olmesartan,158781,942
CHEMBL3184655,73265370,943
SID 7969543,4076092,944
Bazedoxifene acetate,154256,945
7728-73-6,5376,946
89778-26-7,3005573,947
raloxifene,5035,948
clomiphene,2800,949
NCGC00345819-01,73265371,950
Trilostane,656583,951
Erteberel,10286159,952
CHEMBL3348877,73265347,953
CHEMBL3348858,11872781,954
Oprea1_748549,7048670,955
Estrodienol,667476,956
6898-97-1,448537,957
ZINC44963243,ZINC,958
NCGC00164789-05,73265375,959
Tesmilifene,108092,960
daidzein,5281708,961
HC-067047,2742550,962
SA-13353,10158562,963
GSK1016790A,23630211,964
propofol,4943,965
SB-705498,9910486,966
GW3965,447905,967
omeprazole,4594,968
probucol,4912,969
NCGC00017394-08,73265365,970
lansoprazole,3883,971
NCGC00186013-01,44828487,972
pantoprazole,4679,973
928774-43-0,25134521,974
rabeprazole(1-),4659392,975
NCGC00162409-03,73265348,976
Canadine,34458,977
ML240,49830258,978
1346528-06-0,49830260,979
DBeQ,676352,980
Metarrestin,50985821,981
ML329,12387471,982
Elacridar,119373,983
167465-36-3,153997,984
cinchonine,90454,985
